dbn,csd,BoroughL,Borough,school,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,num_female,perc_female,num_mal,perc_male,num_asian,perc_asian,num_black,perc_black,num_hisp,perc_hisp,num_other,perc_other,num_white,perc_white,num_swd,perc_swd,num_ell,perc_ell,num_poverty,perc_poverty,prop_white,prop_black,prop_hisp,prop_asian,prop_other,h_score,high_school,middle_school,elem_school,pre_sch,csd_total_white,csd_total_black,csd_total_hisp,csd_total_other,csd_total_asian,csd_enr_total,csd_prop_white,csd_prop_black,csd_prop_hisp,csd_prop_asian,csd_prop_other,csd_h_score,total_ever_homeless,total_num_students,perc_ever_homeless,sch_diversity
01M015,1,M,Manhattan,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1,91,47.9,20,10.5,52,27.4,110,57.9,2,1.1,6,3.2,45,23.7,8,4.2,161,84.7,0.031578947,0.273684211,0.578947368,0.105263158,0.010526316,1.065081913,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M019,1,M,Manhattan,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4,143,55.6,23,8.9,49,19.1,166,64.6,3,1.2,16,6.2,87,33.9,8,3.1,197,76.7,0.062256809,0.190661479,0.645914397,0.089494163,0.011673152,1.039104136,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M020,1,M,Manhattan,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1,253,50.9,147,29.6,51,10.3,264,53.1,19,3.8,16,3.2,114,22.9,86,17.3,356,71.6,0.032193159,0.102615694,0.531187123,0.295774648,0.038229376,1.165384753,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M034,1,M,Manhattan,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45,183,55,11,3.3,106,31.8,204,61.3,3,0.9,9,2.7,122,36.6,25,7.5,325,97.6,0.027027027,0.318318318,0.612612613,0.033033033,0.009009009,0.917245407,0,1,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M063,1,M,Manhattan,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3,103,50.7,6,3,37,18.2,128,63.1,8,3.9,24,11.8,67,33,2,1,166,81.8,0.118226601,0.18226601,0.630541872,0.02955665,0.039408867,1.085012789,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M064,1,M,Manhattan,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2,144,58.8,11,4.5,51,20.8,167,68.2,3,1.2,13,5.3,71,29,5,2,223,91,0.053061225,0.208163265,0.681632653,0.044897959,0.012244898,0.936992494,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M110,1,M,Manhattan,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8,213,56.2,64,16.9,37,9.8,168,44.3,11,2.9,99,26.1,47,12.4,14,3.7,235,62,0.26121372,0.09762533,0.443271768,0.168865435,0.029023747,1.341514723,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M134,1,M,Manhattan,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1,166,55.9,33,11.1,64,21.5,182,61.3,7,2.4,11,3.7,119,40.1,26,8.8,269,90.6,0.037037037,0.215488216,0.612794613,0.111111111,0.023569024,1.085379604,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M140,1,M,Manhattan,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1,189,50.9,21,5.7,46,12.4,292,78.7,2,0.5,10,2.7,115,31,36,9.7,324,87.3,0.026954178,0.123989218,0.787061995,0.056603774,0.005390836,0.735402249,0,1,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,3
01M142,1,M,Manhattan,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7,188,55.3,8,2.4,43,12.6,281,82.6,7,2.1,1,0.3,122,35.9,27,7.9,331,97.4,0.002941177,0.126470588,0.826470588,0.023529412,0.020588235,0.604339234,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,3
01M184,1,M,Manhattan,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9,343,50.1,475,69.4,25,3.7,92,13.5,42,6.1,50,7.3,113,16.5,103,15.1,462,67.5,0.073099415,0.036549708,0.134502924,0.694444444,0.061403509,1.006562814,0,1,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M188,1,M,Manhattan,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7,248,57.3,8,1.8,127,29.3,286,66.1,0,0,12,2.8,126,29.1,69,15.9,396,91.5,0.027713626,0.29330254,0.660508083,0.018475751,0,0.806812024,0,1,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M292,1,M,Manhattan,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4,90,52.6,19,11.1,43,25.1,97,56.7,4,2.3,8,4.7,42,24.6,23,13.5,156,91.2,0.046783626,0.251461988,0.567251462,0.111111111,0.023391813,1.143981567,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M301,1,M,Manhattan,"Technology, Arts, and Sciences Studio",2017-18,106,0,0,0,0,0,0,0,32,23,51,0,0,0,0,48,45.3,58,54.7,4,3.8,34,32.1,58,54.7,4,3.8,6,5.7,45,42.5,3,2.8,87,82.1,0.056603774,0.320754717,0.547169811,0.037735849,0.037735849,1.104544149,0,1,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M315,1,M,Manhattan,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6,157,49.4,32,10.1,17,5.3,64,20.1,22,6.9,183,57.5,55,17.3,4,1.3,80,25.2,0.575471698,0.05345912,0.201257862,0.100628931,0.06918239,1.213071531,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M332,1,M,Manhattan,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3,115,56.7,18,8.9,47,23.2,128,63.1,2,1,8,3.9,90,44.3,11,5.4,178,87.7,0.039408867,0.231527094,0.630541872,0.088669951,0.009852217,1.017317657,0,1,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M361,1,M,Manhattan,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3,169,53.7,31,9.8,29,9.2,124,39.4,20,6.3,111,35.2,67,21.3,9,2.9,142,45.1,0.352380952,0.092063492,0.393650794,0.098412698,0.063492064,1.357358054,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M363,1,M,Manhattan,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49,155,51,19,6.3,28,9.2,106,34.9,11,3.6,140,46.1,64,21.1,11,3.6,133,43.8,0.460526316,0.092105263,0.348684211,0.0625,0.036184211,1.237496787,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M364,1,M,Manhattan,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4,194,54.6,24,6.8,40,11.3,139,39.2,31,8.7,121,34.1,91,25.6,21,5.9,188,53,0.34084507,0.112676056,0.391549296,0.067605634,0.087323944,1.375034392,0,0,1,1,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M378,1,M,Manhattan,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4,145,56.6,35,13.7,70,27.3,145,56.6,2,0.8,4,1.6,98,38.3,23,9,205,80.1,0.015625,0.2734375,0.56640625,0.13671875,0.0078125,1.051467626,0,1,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M448,1,M,Manhattan,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,42.6,267,57.4,141,30.3,100,21.5,206,44.3,3,0.6,15,3.2,79,17,46,9.9,406,87.3,0.032258065,0.215053763,0.443010753,0.303225807,0.006451613,1.196335806,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M450,1,M,Manhattan,East Side Community School,2017-18,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,46.4,366,53.6,81,11.9,113,16.5,367,53.7,22,3.2,100,14.6,180,26.4,6,0.9,442,64.7,0.146412884,0.165446559,0.537335286,0.118594436,0.032210835,1.276226989,1,1,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M458,1,M,Manhattan,Forsyth Satellite Academy,2017-18,203,0,0,0,0,0,0,0,0,0,0,16,65,79,43,117,57.6,86,42.4,1,0.5,70,34.5,121,59.6,2,1,9,4.4,57,28.1,16,7.9,174,85.7,0.044334975,0.344827586,0.596059113,0.004926108,0.009852217,0.885390026,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M509,1,M,Manhattan,Marta Valle High School,2017-18,148,0,0,0,0,0,0,0,0,0,0,39,33,38,38,88,59.5,60,40.5,7,4.7,47,31.8,88,59.5,2,1.4,4,2.7,38,25.7,10,6.8,138,93.2,0.027027027,0.317567568,0.594594595,0.047297297,0.013513514,0.973459437,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M515,1,M,Manhattan,Lower East Side Preparatory High School,2017-18,557,0,0,0,0,0,0,0,0,0,0,0,212,200,145,237,42.5,320,57.5,318,57.1,58,10.4,165,29.6,6,1.1,10,1.8,26,4.7,391,70.2,417,74.9,0.017953321,0.104129264,0.296229803,0.570915619,0.010771993,1.036936074,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M539,1,M,Manhattan,"New Explorations into Science, Technology and Math",2017-18,1734,0,100,116,149,122,116,112,152,149,136,145,163,146,128,831,47.9,903,52.1,575,33.2,134,7.7,204,11.8,129,7.4,692,39.9,139,8,14,0.8,395,22.8,0.399077278,0.07727797,0.117647059,0.33160323,0.074394464,1.375556938,1,1,1,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M650,1,M,Manhattan,Cascades High School,2017-18,241,0,0,0,0,0,0,0,0,0,0,34,80,73,54,132,54.8,109,45.2,10,4.1,95,39.4,127,52.7,4,1.7,5,2.1,33,13.7,7,2.9,201,83.4,0.020746888,0.394190871,0.526970954,0.041493776,0.01659751,0.985011528,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,2
01M696,1,M,Manhattan,Bard High School Early College,2017-18,588,0,0,0,0,0,0,0,0,0,0,168,136,152,132,371,63.1,217,36.9,167,28.4,80,13.6,100,17,11,1.9,230,39.1,29,4.9,1,0.2,256,43.5,0.391156463,0.136054422,0.170068027,0.284013605,0.018707483,1.371762313,1,0,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
01M839,1,M,Manhattan,Tompkins Square Middle School,2017-18,373,0,0,0,0,0,0,0,125,122,126,0,0,0,0,198,53.1,175,46.9,86,23.1,51,13.7,144,38.6,14,3.8,78,20.9,99,26.5,8,2.1,257,68.9,0.209115282,0.136729223,0.386058981,0.230563003,0.037533512,1.428226728,0,1,0,0,1991,1744,4723,396,2395,11249,0.176993511,0.155036003,0.419859543,0.212907814,0.035203129,1.407018303,1577,11884,13.3,1
02M001,2,M,Manhattan,P.S. 001 Alfred E. Smith,2017-18,318,24,44,51,46,47,55,51,0,0,0,0,0,0,0,158,49.7,160,50.3,170,53.5,56,17.6,82,25.8,4,1.3,6,1.9,81,25.5,64,20.1,250,78.6,0.018867925,0.176100629,0.257861635,0.534591195,0.012578616,1.120063516,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,1
02M002,2,M,Manhattan,P.S. 002 Meyer London,2017-18,552,22,88,69,81,79,93,120,0,0,0,0,0,0,0,261,47.3,291,52.7,434,78.6,29,5.3,82,14.9,2,0.4,5,0.9,119,21.6,180,32.6,533,96.6,0.009057971,0.052536232,0.148550725,0.786231884,0.003623188,0.690110784,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,3
02M003,2,M,Manhattan,P.S. 003 Charrette School,2017-18,753,54,126,134,113,98,120,108,0,0,0,0,0,0,0,369,49,384,51,65,8.6,43,5.7,104,13.8,39,5.2,502,66.7,139,18.5,24,3.2,157,20.8,0.666666667,0.057104914,0.13811421,0.086321381,0.051792829,1.072007332,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,1
02M006,2,M,Manhattan,P.S. 006 Lillie D. Blake,2017-18,694,78,100,105,93,97,106,115,0,0,0,0,0,0,0,340,49,354,51,103,14.8,17,2.4,45,6.5,12,1.7,517,74.5,102,14.7,20,2.9,80,11.5,0.744956772,0.024495677,0.064841499,0.148414986,0.017291066,0.840889006,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,2
02M011,2,M,Manhattan,P.S. 011 William T. Harris,2017-18,923,18,140,155,146,131,150,183,0,0,0,0,0,0,0,463,50.2,460,49.8,146,15.8,57,6.2,223,24.2,60,6.5,437,47.3,122,13.2,30,3.3,271,29.4,0.473456121,0.061755146,0.241603467,0.158179848,0.065005417,1.338516262,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,1
02M033,2,M,Manhattan,P.S. 033 Chelsea Prep,2017-18,650,36,100,96,98,121,102,97,0,0,0,0,0,0,0,342,52.6,308,47.4,147,22.6,117,18,183,28.2,54,8.3,149,22.9,101,15.5,29,4.5,309,47.5,0.229230769,0.18,0.281538462,0.226153846,0.083076923,1.546053833,0,0,1,1,16151,9225,20243,2855,13866,62340,0.259079243,0.147978826,0.324719281,0.222425409,0.045797241,1.473460382,7001,64290,10.9,1
