,subject_race,outcome,reason_for_stop,count
0,asian/pacific islander,arrest,CALL FOR SERVICE,76
1,asian/pacific islander,arrest,CITIZEN CONTACT,4
2,asian/pacific islander,arrest,CRIMINAL VIOLATION,56
3,asian/pacific islander,arrest,FLAGGED DOWN,7
4,asian/pacific islander,arrest,JUVENILE VIOLATION,1
5,asian/pacific islander,arrest,OTHER,12
6,asian/pacific islander,arrest,PRESENT AT CRIME SCENE,1
7,asian/pacific islander,arrest,SUSPECT PERSON,31
8,asian/pacific islander,arrest,SUSPECT VEHICLE,1
9,asian/pacific islander,arrest,TRAFFIC VIOLATION,95
10,asian/pacific islander,citation,CALL FOR SERVICE,54
11,asian/pacific islander,citation,CITIZEN CONTACT,2
12,asian/pacific islander,citation,CRIMINAL VIOLATION,34
13,asian/pacific islander,citation,FLAGGED DOWN,1
14,asian/pacific islander,citation,OTHER,12
15,asian/pacific islander,citation,SUSPECT PERSON,17
16,asian/pacific islander,citation,SUSPECT VEHICLE,1
17,asian/pacific islander,citation,TRAFFIC VIOLATION,1305
18,asian/pacific islander,warning,CALL FOR SERVICE,23
19,asian/pacific islander,warning,CITIZEN CONTACT,4
20,asian/pacific islander,warning,CRIMINAL VIOLATION,9
21,asian/pacific islander,warning,FLAGGED DOWN,3
22,asian/pacific islander,warning,OTHER,7
23,asian/pacific islander,warning,SUSPECT PERSON,18
24,asian/pacific islander,warning,SUSPECT VEHICLE,9
25,asian/pacific islander,warning,TRAFFIC VIOLATION,1021
26,black,arrest,CALL FOR SERVICE,16995
27,black,arrest,CITIZEN CONTACT,1277
28,black,arrest,CRIMINAL VIOLATION,9761
29,black,arrest,FLAGGED DOWN,735
30,black,arrest,JUVENILE VIOLATION,1344
31,black,arrest,OTHER,4016
32,black,arrest,PRESENT AT CRIME SCENE,206
33,black,arrest,SUSPECT PERSON,9097
34,black,arrest,SUSPECT VEHICLE,676
35,black,arrest,TRAFFIC VIOLATION,25495
36,black,citation,CALL FOR SERVICE,3401
37,black,citation,CITIZEN CONTACT,441
38,black,citation,CRIMINAL VIOLATION,2166
39,black,citation,FLAGGED DOWN,184
40,black,citation,JUVENILE VIOLATION,344
41,black,citation,OTHER,899
42,black,citation,PRESENT AT CRIME SCENE,29
43,black,citation,SUSPECT PERSON,1359
44,black,citation,SUSPECT VEHICLE,312
45,black,citation,TRAFFIC VIOLATION,64523
46,black,warning,CALL FOR SERVICE,4350
47,black,warning,CITIZEN CONTACT,1264
48,black,warning,CRIMINAL VIOLATION,1081
49,black,warning,FLAGGED DOWN,367
50,black,warning,JUVENILE VIOLATION,69
51,black,warning,OTHER,1688
52,black,warning,PRESENT AT CRIME SCENE,53
53,black,warning,SUSPECT PERSON,6688
54,black,warning,SUSPECT VEHICLE,858
55,black,warning,TRAFFIC VIOLATION,67231
56,hispanic,arrest,CALL FOR SERVICE,663
57,hispanic,arrest,CITIZEN CONTACT,27
58,hispanic,arrest,CRIMINAL VIOLATION,390
59,hispanic,arrest,FLAGGED DOWN,37
60,hispanic,arrest,JUVENILE VIOLATION,16
61,hispanic,arrest,OTHER,74
62,hispanic,arrest,PRESENT AT CRIME SCENE,6
63,hispanic,arrest,SUSPECT PERSON,148
64,hispanic,arrest,SUSPECT VEHICLE,6
65,hispanic,arrest,TRAFFIC VIOLATION,727
66,hispanic,citation,CALL FOR SERVICE,219
67,hispanic,citation,CITIZEN CONTACT,15
68,hispanic,citation,CRIMINAL VIOLATION,111
