subject_race,subject_sex,outcome,year,month,count
asian,female,arrest,2011,5,1
asian,female,arrest,2011,7,1
asian,female,arrest,2011,9,1
asian,female,arrest,2011,10,1
asian,female,arrest,2011,11,1
asian,female,arrest,2012,2,2
asian,female,arrest,2012,5,1
asian,female,arrest,2012,7,1
asian,female,arrest,2012,8,1
asian,female,arrest,2012,12,1
asian,female,arrest,2013,3,1
asian,female,arrest,2013,4,1
asian,female,arrest,2013,7,1
asian,female,arrest,2013,9,1
asian,female,arrest,2013,10,1
asian,female,arrest,2014,1,1
asian,female,arrest,2014,5,2
asian,female,arrest,2014,6,1
asian,female,arrest,2014,9,1
asian,female,arrest,2014,10,1
asian,female,arrest,2014,11,2
asian,female,arrest,2014,12,1
asian,female,arrest,2015,1,2
asian,female,arrest,2015,4,2
asian,female,arrest,2015,6,1
asian,female,arrest,2015,7,1
asian,female,arrest,2015,9,1
asian,female,arrest,2015,10,1
asian,female,arrest,2015,11,2
asian,female,arrest,2016,2,1
asian,female,arrest,2016,6,1
asian,female,arrest,2016,9,2
asian,female,arrest,2016,10,2
asian,female,arrest,2016,12,2
asian,female,arrest,2017,1,1
asian,female,arrest,2017,5,1
asian,female,arrest,2017,6,2
asian,female,arrest,2017,7,1
asian,female,arrest,2017,8,2
asian,female,arrest,2017,9,1
asian,female,arrest,2017,11,1
asian,female,arrest,2018,1,1
asian,female,arrest,2018,2,1
asian,female,arrest,2018,5,2
asian,female,arrest,2018,7,1
asian,female,citation,2011,5,3
asian,female,citation,2011,6,4
asian,female,citation,2011,7,4
asian,female,citation,2011,8,5
asian,female,citation,2011,9,6
asian,female,citation,2011,10,4
asian,female,citation,2011,11,3
asian,female,citation,2011,12,7
asian,female,citation,2012,1,6
asian,female,citation,2012,2,6
asian,female,citation,2012,3,9
asian,female,citation,2012,4,6
asian,female,citation,2012,5,10
asian,female,citation,2012,6,8
asian,female,citation,2012,7,3
asian,female,citation,2012,8,2
asian,female,citation,2012,9,1
asian,female,citation,2012,10,5
asian,female,citation,2012,11,3
asian,female,citation,2012,12,2
asian,female,citation,2013,1,1
asian,female,citation,2013,2,1
asian,female,citation,2013,3,5
asian,female,citation,2013,4,1
asian,female,citation,2013,5,1
asian,female,citation,2013,6,3
asian,female,citation,2013,7,2
asian,female,citation,2013,8,2
asian,female,citation,2013,9,5
asian,female,citation,2013,10,10
asian,female,citation,2013,11,15
asian,female,citation,2013,12,3
asian,female,citation,2014,1,2
asian,female,citation,2014,2,3
asian,female,citation,2014,3,3
asian,female,citation,2014,4,5
asian,female,citation,2014,5,2
asian,female,citation,2014,6,7
asian,female,citation,2014,7,4
asian,female,citation,2014,8,26
asian,female,citation,2014,9,9
asian,female,citation,2014,10,5
asian,female,citation,2014,11,4
asian,female,citation,2014,12,3
asian,female,citation,2015,1,3
asian,female,citation,2015,2,6
asian,female,citation,2015,3,4
asian,female,citation,2015,4,15
asian,female,citation,2015,5,7
asian,female,citation,2015,6,5
asian,female,citation,2015,7,12
asian,female,citation,2015,8,18
asian,female,citation,2015,9,19
asian,female,citation,2015,10,10
asian,female,citation,2015,11,5
asian,female,citation,2015,12,4
asian,female,citation,2016,1,4
asian,female,citation,2016,2,6
asian,female,citation,2016,3,5
asian,female,citation,2016,4,3
asian,female,citation,2016,5,3
asian,female,citation,2016,6,1
asian,female,citation,2016,7,4
asian,female,citation,2016,8,5
asian,female,citation,2016,9,4
asian,female,citation,2016,10,1
asian,female,citation,2016,11,2
asian,female,citation,2016,12,2
asian,female,citation,2017,1,9
asian,female,citation,2017,2,3
asian,female,citation,2017,3,1
asian,female,citation,2017,4,1
asian,female,citation,2017,5,3
asian,female,citation,2017,6,1
asian,female,citation,2017,7,6
asian,female,citation,2017,8,4
asian,female,citation,2017,9,2
asian,female,citation,2017,10,4
asian,female,citation,2017,11,1
asian,female,citation,2017,12,5
asian,female,citation,2018,1,1
asian,female,citation,2018,2,2
asian,female,citation,2018,3,3
asian,female,citation,2018,4,2
asian,female,citation,2018,5,3
asian,female,citation,2018,6,2
asian,female,citation,2018,7,3
asian,female,warning,2011,5,5
asian,female,warning,2011,6,7
asian,female,warning,2011,7,6
asian,female,warning,2011,8,2
asian,female,warning,2011,9,4
asian,female,warning,2011,10,6
asian,female,warning,2011,11,7
asian,female,warning,2011,12,3
asian,female,warning,2012,1,3
asian,female,warning,2012,2,4
asian,female,warning,2012,3,6
asian,female,warning,2012,4,7
asian,female,warning,2012,5,3
asian,female,warning,2012,6,6
asian,female,warning,2012,7,4
asian,female,warning,2012,8,1
asian,female,warning,2012,9,1
asian,female,warning,2012,10,8
asian,female,warning,2012,11,2
asian,female,warning,2013,1,2
asian,female,warning,2013,2,2
asian,female,warning,2013,4,2
asian,female,warning,2013,5,1
asian,female,warning,2013,7,1
asian,female,warning,2013,8,2
asian,female,warning,2013,9,2
asian,female,warning,2013,10,2
asian,female,warning,2013,11,4
asian,female,warning,2013,12,5
asian,female,warning,2014,1,1
asian,female,warning,2014,2,2
asian,female,warning,2014,3,1
asian,female,warning,2014,4,2
asian,female,warning,2014,5,3
asian,female,warning,2014,6,2
asian,female,warning,2014,7,5
asian,female,warning,2014,8,6
asian,female,warning,2014,9,6
asian,female,warning,2014,10,8
asian,female,warning,2014,11,4
asian,female,warning,2014,12,3
asian,female,warning,2015,1,8
asian,female,warning,2015,2,6
asian,female,warning,2015,3,7
asian,female,warning,2015,4,2
asian,female,warning,2015,5,3
asian,female,warning,2015,6,6
asian,female,warning,2015,7,9
asian,female,warning,2015,8,12
asian,female,warning,2015,9,5
asian,female,warning,2015,10,6
asian,female,warning,2015,11,7
asian,female,warning,2015,12,2
asian,female,warning,2016,1,8
asian,female,warning,2016,2,5
asian,female,warning,2016,3,8
asian,female,warning,2016,4,2
asian,female,warning,2016,5,3
asian,female,warning,2016,6,1
asian,female,warning,2016,7,3
asian,female,warning,2016,8,5
asian,female,warning,2016,9,4
asian,female,warning,2016,10,15
asian,female,warning,2016,11,3
asian,female,warning,2016,12,5
asian,female,warning,2017,1,6
asian,female,warning,2017,2,1
asian,female,warning,2017,3,7
asian,female,warning,2017,4,7
asian,female,warning,2017,5,8
asian,female,warning,2017,6,1
asian,female,warning,2017,7,4
asian,female,warning,2017,8,7
asian,female,warning,2017,9,7
asian,female,warning,2017,10,7
asian,female,warning,2017,12,7
asian,female,warning,2018,1,7
asian,female,warning,2018,2,6
asian,female,warning,2018,3,3
asian,female,warning,2018,4,3
asian,female,warning,2018,5,7
asian,female,warning,2018,6,4
asian,female,warning,2018,7,2
asian,male,arrest,2011,5,4
asian,male,arrest,2011,8,5
asian,male,arrest,2011,9,3
asian,male,arrest,2011,10,2
asian,male,arrest,2011,11,2
asian,male,arrest,2011,12,2
asian,male,arrest,2012,1,1
asian,male,arrest,2012,2,6
asian,male,arrest,2012,3,2
asian,male,arrest,2012,4,6
asian,male,arrest,2012,6,1
asian,male,arrest,2012,8,2
asian,male,arrest,2012,9,1
asian,male,arrest,2012,10,1
asian,male,arrest,2012,11,3
asian,male,arrest,2012,12,6
asian,male,arrest,2013,3,4
asian,male,arrest,2013,5,2
asian,male,arrest,2013,6,2
asian,male,arrest,2013,7,3
asian,male,arrest,2013,8,2
asian,male,arrest,2013,10,1
asian,male,arrest,2013,11,2
asian,male,arrest,2013,12,4
asian,male,arrest,2014,1,9
asian,male,arrest,2014,2,2
asian,male,arrest,2014,3,5
asian,male,arrest,2014,4,4
asian,male,arrest,2014,5,5
asian,male,arrest,2014,6,1
asian,male,arrest,2014,7,2
asian,male,arrest,2014,8,1
asian,male,arrest,2014,9,4
asian,male,arrest,2014,10,2
asian,male,arrest,2014,11,4
asian,male,arrest,2014,12,6
asian,male,arrest,2015,1,3
asian,male,arrest,2015,2,6
asian,male,arrest,2015,3,3
asian,male,arrest,2015,4,3
asian,male,arrest,2015,5,5
asian,male,arrest,2015,6,1
asian,male,arrest,2015,7,3
asian,male,arrest,2015,8,5
asian,male,arrest,2015,10,1
asian,male,arrest,2015,11,4
asian,male,arrest,2015,12,2
asian,male,arrest,2016,1,4
asian,male,arrest,2016,2,3
asian,male,arrest,2016,3,1
asian,male,arrest,2016,4,5
asian,male,arrest,2016,5,3
asian,male,arrest,2016,7,1
asian,male,arrest,2016,8,3
asian,male,arrest,2016,9,5
asian,male,arrest,2016,10,1
asian,male,arrest,2016,11,7
asian,male,arrest,2016,12,5
asian,male,arrest,2017,1,5
asian,male,arrest,2017,2,4
asian,male,arrest,2017,3,2
asian,male,arrest,2017,4,4
asian,male,arrest,2017,5,3
asian,male,arrest,2017,6,1
asian,male,arrest,2017,10,3
asian,male,arrest,2017,11,1
asian,male,arrest,2017,12,3
asian,male,arrest,2018,1,5
asian,male,arrest,2018,2,1
asian,male,arrest,2018,3,2
asian,male,arrest,2018,4,2
asian,male,arrest,2018,5,4
asian,male,arrest,2018,7,1
asian,male,citation,2011,5,8
asian,male,citation,2011,6,14
asian,male,citation,2011,7,13
asian,male,citation,2011,8,17
asian,male,citation,2011,9,15
asian,male,citation,2011,10,8
asian,male,citation,2011,11,10
asian,male,citation,2011,12,16
asian,male,citation,2012,1,10
asian,male,citation,2012,2,15
asian,male,citation,2012,3,27
asian,male,citation,2012,4,15
asian,male,citation,2012,5,18
asian,male,citation,2012,6,15
asian,male,citation,2012,7,17
asian,male,citation,2012,8,13
asian,male,citation,2012,9,8
asian,male,citation,2012,10,5
asian,male,citation,2012,11,6
asian,male,citation,2012,12,9
asian,male,citation,2013,1,7
asian,male,citation,2013,2,1
asian,male,citation,2013,3,6
asian,male,citation,2013,4,7
asian,male,citation,2013,5,5
asian,male,citation,2013,6,8
asian,male,citation,2013,7,3
asian,male,citation,2013,8,14
asian,male,citation,2013,9,10
asian,male,citation,2013,10,18
asian,male,citation,2013,11,17
asian,male,citation,2013,12,12
asian,male,citation,2014,1,6
asian,male,citation,2014,2,3
asian,male,citation,2014,3,7
asian,male,citation,2014,4,6
asian,male,citation,2014,5,9
asian,male,citation,2014,6,11
asian,male,citation,2014,7,22
asian,male,citation,2014,8,54
asian,male,citation,2014,9,27
asian,male,citation,2014,10,12
asian,male,citation,2014,11,8
asian,male,citation,2014,12,16
asian,male,citation,2015,1,10
asian,male,citation,2015,2,8
asian,male,citation,2015,3,20
asian,male,citation,2015,4,22
asian,male,citation,2015,5,16
asian,male,citation,2015,6,10
asian,male,citation,2015,7,18
asian,male,citation,2015,8,27
asian,male,citation,2015,9,43
asian,male,citation,2015,10,24
asian,male,citation,2015,11,12
asian,male,citation,2015,12,10
asian,male,citation,2016,1,16
asian,male,citation,2016,2,8
asian,male,citation,2016,3,9
asian,male,citation,2016,4,8
asian,male,citation,2016,5,6
asian,male,citation,2016,6,3
asian,male,citation,2016,7,6
asian,male,citation,2016,8,15
asian,male,citation,2016,9,13
asian,male,citation,2016,10,5
asian,male,citation,2016,11,7
asian,male,citation,2016,12,8
asian,male,citation,2017,1,10
asian,male,citation,2017,2,2
asian,male,citation,2017,3,9
asian,male,citation,2017,4,7
asian,male,citation,2017,5,4
asian,male,citation,2017,6,3
asian,male,citation,2017,7,9
asian,male,citation,2017,8,14
asian,male,citation,2017,9,7
asian,male,citation,2017,10,3
asian,male,citation,2017,11,6
asian,male,citation,2017,12,3
asian,male,citation,2018,1,4
asian,male,citation,2018,2,6
asian,male,citation,2018,3,13
asian,male,citation,2018,4,6
asian,male,citation,2018,5,7
asian,male,citation,2018,6,14
asian,male,citation,2018,7,4
asian,male,warning,2011,4,2
asian,male,warning,2011,5,8
asian,male,warning,2011,6,4
asian,male,warning,2011,7,5
asian,male,warning,2011,8,14
asian,male,warning,2011,9,12
asian,male,warning,2011,10,11
asian,male,warning,2011,11,10
asian,male,warning,2011,12,8
asian,male,warning,2012,1,8
asian,male,warning,2012,2,10
asian,male,warning,2012,3,18
asian,male,warning,2012,4,11
asian,male,warning,2012,5,10
asian,male,warning,2012,6,17
asian,male,warning,2012,7,4
asian,male,warning,2012,8,9
asian,male,warning,2012,9,3
asian,male,warning,2012,10,5
asian,male,warning,2012,11,3
asian,male,warning,2012,12,1
asian,male,warning,2013,1,6
