subject_race,subject_sex,outcome,year,month,reason_for_stop,count
asian,female,arrest,2011,5,TRAFFIC VI,1
asian,female,arrest,2011,7,CRIMINAL V,1
asian,female,arrest,2011,9,TRAFFIC VI,1
asian,female,arrest,2011,10,TRAFFIC VI,1
asian,female,arrest,2011,11,CRIMINAL V,1
asian,female,arrest,2012,2,FLAGGED DO,1
asian,female,arrest,2012,2,JUVENILE V,1
asian,female,arrest,2012,5,SUSPECT PE,1
asian,female,arrest,2012,7,PRESENT AT,1
asian,female,arrest,2012,8,TRAFFIC VI,1
asian,female,arrest,2012,12,SUSPECT PE,1
asian,female,arrest,2013,3,TRAFFIC VI,1
asian,female,arrest,2013,4,CRIMINAL V,1
asian,female,arrest,2013,7,TRAFFIC VI,1
asian,female,arrest,2013,9,TRAFFIC VI,1
asian,female,arrest,2013,10,CRIMINAL V,1
asian,female,arrest,2014,1,CRIMINAL V,1
asian,female,arrest,2014,5,CRIMINAL V,1
asian,female,arrest,2014,5,TRAFFIC VI,1
asian,female,arrest,2014,6,CALL FOR S,1
asian,female,arrest,2014,9,SUSPECT PE,1
asian,female,arrest,2014,10,TRAFFIC VI,1
asian,female,arrest,2014,11,CRIMINAL V,1
asian,female,arrest,2014,11,TRAFFIC VI,1
asian,female,arrest,2014,12,CALL FOR S,1
asian,female,arrest,2015,1,CALL FOR S,1
asian,female,arrest,2015,1,CRIMINAL V,1
asian,female,arrest,2015,4,CALL FOR S,1
asian,female,arrest,2015,4,TRAFFIC VI,1
asian,female,arrest,2015,6,TRAFFIC VI,1
asian,female,arrest,2015,7,CALL FOR S,1
asian,female,arrest,2015,9,OTHER,1
asian,female,arrest,2015,10,CRIMINAL V,1
asian,female,arrest,2015,11,CALL FOR S,1
asian,female,arrest,2015,11,TRAFFIC VI,1
asian,female,arrest,2016,2,SUSPECT PE,1
asian,female,arrest,2016,6,SUSPECT PE,1
asian,female,arrest,2016,9,CALL FOR S,1
asian,female,arrest,2016,9,CRIMINAL V,1
asian,female,arrest,2016,10,CALL FOR S,1
asian,female,arrest,2016,10,CITIZEN CO,1
asian,female,arrest,2016,12,CRIMINAL V,1
asian,female,arrest,2016,12,SUSPECT PE,1
asian,female,arrest,2017,1,CITIZEN CO,1
asian,female,arrest,2017,5,CRIMINAL V,1
