subject_race,outcome,year,count
Asian,arrest,2011,23
Asian,arrest,2012,35
Asian,arrest,2013,25
Asian,arrest,2014,54
Asian,arrest,2015,46
Asian,arrest,2016,46
Asian,arrest,2017,35
Asian,arrest,2018,20
Asian,citation,2011,137
Asian,citation,2012,219
Asian,citation,2013,157
Asian,citation,2014,254
Asian,citation,2015,328
Asian,citation,2016,144
Asian,citation,2017,117
Asian,citation,2018,70
Asian,warning,2011,114
Asian,warning,2012,144
Asian,warning,2013,61
Asian,warning,2014,120
Asian,warning,2015,209
Asian,warning,2016,168
Asian,warning,2017,186
Asian,warning,2018,92
Black,arrest,2011,5750
Black,arrest,2012,9088
Black,arrest,2013,9008
Black,arrest,2014,9459
Black,arrest,2015,10847
Black,arrest,2016,8871
Black,arrest,2017,11496
Black,arrest,2018,5080
Black,citation,2011,7904
Black,citation,2012,11171
Black,citation,2013,8274
Black,citation,2014,10202
Black,citation,2015,13121
Black,citation,2016,8267
Black,citation,2017,9310
Black,citation,2018,5407
Black,warning,2011,10076
Black,warning,2012,11388
Black,warning,2013,5237
Black,warning,2014,9828
Black,warning,2015,14824
Black,warning,2016,10119
Black,warning,2017,13755
Black,warning,2018,8421
Hispanic,arrest,2011,142
Hispanic,arrest,2012,264
Hispanic,arrest,2013,242
Hispanic,arrest,2014,304
Hispanic,arrest,2015,351
Hispanic,arrest,2016,288
Hispanic,arrest,2017,367
Hispanic,arrest,2018,136
Hispanic,citation,2011,556
Hispanic,citation,2012,659
Hispanic,citation,2013,383
Hispanic,citation,2014,685
Hispanic,citation,2015,907
Hispanic,citation,2016,567
Hispanic,citation,2017,574
Hispanic,citation,2018,261
Hispanic,warning,2011,290
Hispanic,warning,2012,308
Hispanic,warning,2013,147
Hispanic,warning,2014,378
Hispanic,warning,2015,600
Hispanic,warning,2016,421
Hispanic,warning,2017,523
Hispanic,warning,2018,333
Other,arrest,2011,4
Other,arrest,2012,4
Other,arrest,2013,2
Other,arrest,2014,7
Other,arrest,2015,5
Other,arrest,2016,5
Other,arrest,2017,8
Other,arrest,2018,1
Other,citation,2011,22
Other,citation,2012,20
Other,citation,2013,9
Other,citation,2014,20
Other,citation,2015,33
Other,citation,2016,14
Other,citation,2017,18
Other,citation,2018,6
Other,warning,2011,5
Other,warning,2012,5
Other,warning,2013,3
Other,warning,2014,7
Other,warning,2015,19
Other,warning,2016,10
Other,warning,2017,20
Other,warning,2018,17
White,arrest,2011,1778
White,arrest,2012,2941
White,arrest,2013,2614
White,arrest,2014,3023
White,arrest,2015,3452
White,arrest,2016,2962
White,arrest,2017,3358
White,arrest,2018,1230
White,citation,2011,4333
White,citation,2012,5528
White,citation,2013,3517
White,citation,2014,5676
White,citation,2015,5738
White,citation,2016,3986
White,citation,2017,3779
White,citation,2018,1970
White,warning,2011,3895
White,warning,2012,4614
White,warning,2013,2163
White,warning,2014,4568
White,warning,2015,6515
White,warning,2016,4807
White,warning,2017,4894
White,warning,2018,2380
