week,week2,Movement,onemax
2001,1,Squat,145
2002,2,Squat,151
2003,3,Squat,159.9
2004,4,Squat,163.1
2005,5,Squat,167.7
2006,6,Squat,172.6
2007,7,Squat,171.8
2008,8,Squat,173.8
2009,9,Squat,162.5
2010,10,Squat,162.5
2011,11,Squat,178.4
2012,12,Squat,190
2013,13,Squat,195.9
2014,14,Squat,210.3
2015,15,Squat,190.6
2016,16,Squat,216.8
2017,17,Squat,216.7
2018,18,Squat,214.8
2019,19,Squat,209
2020,20,Squat,202
2021,21,Squat,210
2022,22,Squat,210
2023,23,Squat,210
2024,24,Squat,210
2025,25,Squat,202
2026,26,Squat,208
2027,27,Squat,203
2028,28,Squat,198
2029,29,Squat,210
2030,30,Squat,217
2031,31,Squat,215
2032,32,Squat,221
2033,33,Squat,223
2034,34,Squat,210
2035,35,Squat,230
2036,36,Squat,203
2037,37,Squat,210
2038,38,Squat,223
2039,39,Squat,230
2040,40,Squat,210
2041,41,Squat,210
2042,42,Squat,210.9
2043,43,Squat,217.2
2044,44,Squat,217.2
2045,45,Squat,220
2046,46,Squat,238.6
2047,47,Squat,238.6
2001,1,Bench,99.2
2002,2,Bench,108.8
2003,3,Bench,111
2004,4,Bench,117.1
2005,5,Bench,111
2006,6,Bench,113.5
2007,7,Bench,117.1
2008,8,Bench,114.3
2009,9,Bench,107.5
2010,10,Bench,119.5
2011,11,Bench,125.4
2012,12,Bench,130.2
2013,13,Bench,132.1
2014,14,Bench,133.3
2015,15,Bench,113.5
2016,16,Bench,132.1
2017,17,Bench,129.7
2018,18,Bench,125.3
2019,19,Bench,121
2020,20,Bench,110
2021,21,Bench,113.5
2022,22,Bench,121.3
2023,23,Bench,121.3
2024,24,Bench,121.3
2025,25,Bench,111.6
2026,26,Bench,119.1
2027,27,Bench,119.1
2028,28,Bench,119.1
2029,29,Bench,125
2030,30,Bench,127
2031,31,Bench,131.4
2032,32,Bench,131.4
2033,33,Bench,128.9
2034,34,Bench,126
2035,35,Bench,124.9
2036,36,Bench,125
2037,37,Bench,118.3
2038,38,Bench,133.2
2039,39,Bench,133
2040,40,Bench,133.2
2041,41,Bench,131.4
2042,42,Bench,128.9
2043,43,Bench,138.2
2044,44,Bench,140
2045,45,Bench,143.2
2046,46,Bench,143.2
2047,47,Bench,149.7
2001,1,Deadlift,197.3
2002,2,Deadlift,211
2003,3,Deadlift,216.8
2004,4,Deadlift,228
2005,5,Deadlift,216.5
2006,6,Deadlift,225.2
2007,7,Deadlift,204.7
2008,8,Deadlift,218.2
2009,9,Deadlift,203.7
2010,10,Deadlift,215.8
2011,11,Deadlift,229.3
2012,12,Deadlift,236.6
2013,13,Deadlift,230.6
2014,14,Deadlift,235.8
2015,15,Deadlift,242.2
2016,16,Deadlift,248
2017,17,Deadlift,237.8
2018,18,Deadlift,242.2
2019,19,Deadlift,237
2020,20,Deadlift,237
2021,21,Deadlift,212
2022,22,Deadlift,212
2023,23,Deadlift,212
2024,24,Deadlift,203
2025,25,Deadlift,220
2026,26,Deadlift,220
2027,27,Deadlift,226.7
2028,28,Deadlift,233.2
2029,29,Deadlift,198
2030,30,Deadlift,230
2031,31,Deadlift,230
2032,32,Deadlift,238.6
2033,33,Deadlift,226.7
2034,34,Deadlift,209
2035,35,Deadlift,245.1
2036,36,Deadlift,226.7
2037,37,Deadlift,245.1
2038,38,Deadlift,245.1
2039,39,Deadlift,226.7
2040,40,Deadlift,245.1
2041,41,Deadlift,226.7
2042,42,Deadlift,238.6
2043,43,Deadlift,245.1
2044,44,Deadlift,238.6
2045,45,Deadlift,245.1
2046,46,Deadlift,238.9
2047,47,Deadlift,238.9
