song,week,total_week,cum_week,Performer
7 Rings,17,0,0,Ariana Grande
7 Rings,18,0,0,Ariana Grande
7 Rings,19,0,0,Ariana Grande
7 Rings,20,0,0,Ariana Grande
7 Rings,21,0,0,Ariana Grande
7 Rings,22,0,0,Ariana Grande
7 Rings,23,0,0,Ariana Grande
7 Rings,24,11,2,Ariana Grande
7 Rings,25,11,3,Ariana Grande
7 Rings,26,11,4,Ariana Grande
7 Rings,27,11,5,Ariana Grande
7 Rings,28,11,6,Ariana Grande
7 Rings,29,11,7,Ariana Grande
7 Rings,30,11,8,Ariana Grande
7 Rings,31,11,9,Ariana Grande
7 Rings,32,11,10,Ariana Grande
7 Rings,33,11,11,Ariana Grande
7 Rings,34,11,12,Ariana Grande
A Lot,17,0,0,
A Lot,18,0,0,
A Lot,19,0,0,
A Lot,20,3,1,
A Lot,21,3,2,
A Lot,22,3,3,
A Lot,23,0,0,
A Lot,24,0,0,
A Lot,25,0,0,
A Lot,26,0,0,
A Lot,27,0,0,
A Lot,28,0,0,
A Lot,29,0,0,
A Lot,30,0,0,
A Lot,31,0,0,
A Lot,32,0,0,
A Lot,33,0,0,
A Lot,34,0,0,
Act Up ,17,0,0,
Act Up ,18,0,0,
Act Up ,19,0,0,
Act Up ,20,0,0,
Act Up ,21,0,0,
Act Up ,22,0,0,
Act Up ,23,0,0,
Act Up ,24,0,0,
Act Up ,25,0,0,
Act Up ,26,0,0,
Act Up ,27,0,0,
Act Up ,28,0,0,
Act Up ,29,0,0,
Act Up ,30,1,1,
Act Up ,31,0,0,
Act Up ,32,0,0,
Act Up ,33,0,0,
Act Up ,34,0,0,
Bad Guy,34,1,1,
Bad Guy,17,0,0,
Bad Guy,18,0,0,
Bad Guy,19,0,0,
Bad Guy,20,0,0,
Bad Guy,21,0,0,
Bad Guy,22,0,0,
Bad Guy,23,0,0,
Bad Guy,24,0,0,
Bad Guy,25,0,0,
Bad Guy,26,0,0,
Bad Guy,27,0,0,
Bad Guy,28,0,0,
Bad Guy,29,0,0,
Bad Guy,30,0,0,
Bad Guy,31,0,0,
Bad Guy,32,0,0,
Bad Guy,33,0,0,
Be Alright,17,4,1,
Be Alright,18,4,2,
Be Alright,19,4,3,
Be Alright,20,4,4,
Be Alright,21,0,0,
Be Alright,22,0,0,
Be Alright,23,0,0,
Be Alright,24,0,0,
Be Alright,25,0,0,
Be Alright,26,0,0,
Be Alright,27,0,0,
Be Alright,28,0,0,
Be Alright,29,0,0,
Be Alright,30,0,0,
Be Alright,31,0,0,
Be Alright,32,0,0,
Be Alright,33,0,0,
Be Alright,34,0,0,
Beautiful Crazy,17,8,1,
Beautiful Crazy,18,8,2,
Beautiful Crazy,19,8,3,
Beautiful Crazy,20,8,4,
Beautiful Crazy,21,8,5,
Beautiful Crazy,22,8,6,
Beautiful Crazy,23,8,7,
Beautiful Crazy,24,8,8,
Beautiful Crazy,25,0,0,
Beautiful Crazy,26,0,0,
Beautiful Crazy,27,0,0,
Beautiful Crazy,28,0,0,
Beautiful Crazy,29,0,0,
Beautiful Crazy,30,0,0,
Beautiful Crazy,31,0,0,
Beautiful Crazy,32,0,0,
Beautiful Crazy,33,0,0,
Beautiful Crazy,34,0,0,
Better,17,17,1,
Better,18,17,2,
Better,19,17,3,
Better,20,17,4,
Better,21,17,5,
Better,22,17,6,
Better,23,17,7,
Better,24,17,8,
Better,25,17,9,
Better,26,17,10,
Better,27,17,11,
Better,28,17,12,
Better,29,17,13,
Better,30,17,14,
Better,31,17,15,
Better,32,17,16,
Better,33,17,17,
Better,34,0,0,
Better Now,17,1,1,
Better Now,18,0,0,
Better Now,19,0,0,
Better Now,20,0,0,
Better Now,21,0,0,
Better Now,22,0,0,
Better Now,23,0,0,
Better Now,24,0,0,
Better Now,25,0,0,
Better Now,26,0,0,
Better Now,27,0,0,
Better Now,28,0,0,
Better Now,29,0,0,
Better Now,30,0,0,
Better Now,31,0,0,
Better Now,32,0,0,
Better Now,33,0,0,
Better Now,34,0,0,
Close Friends,17,8,1,
Close Friends,18,8,2,
Close Friends,19,8,3,
Close Friends,20,8,4,
Close Friends,21,8,5,
Close Friends,22,8,6,
Close Friends,23,8,7,
Close Friends,24,8,8,
Close Friends,25,0,0,
Close Friends,26,0,0,
Close Friends,27,0,0,
Close Friends,28,0,0,
Close Friends,29,0,0,
Close Friends,30,0,0,
Close Friends,31,0,0,
Close Friends,32,0,0,
Close Friends,33,0,0,
Close Friends,34,0,0,
Close To Me,17,3,1,
Close To Me,18,3,2,
Close To Me,19,3,3,
Close To Me,20,0,0,
Close To Me,21,0,0,
Close To Me,22,0,0,
Close To Me,23,0,0,
Close To Me,24,0,0,
Close To Me,25,0,0,
Close To Me,26,0,0,
Close To Me,27,0,0,
Close To Me,28,0,0,
Close To Me,29,0,0,
Close To Me,30,0,0,
Close To Me,31,0,0,
Close To Me,32,0,0,
Close To Me,33,0,0,
Close To Me,34,0,0,
Con Calma,26,5,1,
Con Calma,27,5,2,
Con Calma,28,5,3,
Con Calma,29,5,4,
Con Calma,30,5,5,
Con Calma,17,0,0,
Con Calma,18,0,0,
Con Calma,19,0,0,
Con Calma,20,0,0,
Con Calma,21,0,0,
Con Calma,22,0,0,
Con Calma,23,0,0,
Con Calma,24,0,0,
Con Calma,25,0,0,
Con Calma,31,0,0,
Con Calma,32,0,0,
Con Calma,33,0,0,
Con Calma,34,0,0,
Dancing With A Stranger,23,12,1,
Dancing With A Stranger,24,12,2,
Dancing With A Stranger,25,12,3,
Dancing With A Stranger,26,12,4,
Dancing With A Stranger,27,12,5,
Dancing With A Stranger,28,12,6,
Dancing With A Stranger,29,12,7,
Dancing With A Stranger,30,12,8,
Dancing With A Stranger,31,12,9,
Dancing With A Stranger,32,12,10,
Dancing With A Stranger,33,12,11,
Dancing With A Stranger,34,12,12,
Dancing With A Stranger,17,0,0,
Dancing With A Stranger,18,0,0,
Dancing With A Stranger,19,0,0,
Dancing With A Stranger,20,0,0,
Dancing With A Stranger,21,0,0,
Dancing With A Stranger,22,0,0,
Drip Too Hard,17,4,1,
Drip Too Hard,18,4,2,
Drip Too Hard,19,4,3,
Drip Too Hard,20,4,4,
Drip Too Hard,21,0,0,
Drip Too Hard,22,0,0,
Drip Too Hard,23,0,0,
Drip Too Hard,24,0,0,
Drip Too Hard,25,0,0,
Drip Too Hard,26,0,0,
Drip Too Hard,27,0,0,
Drip Too Hard,28,0,0,
Drip Too Hard,29,0,0,
Drip Too Hard,30,0,0,
Drip Too Hard,31,0,0,
Drip Too Hard,32,0,0,
Drip Too Hard,33,0,0,
Drip Too Hard,34,0,0,
Eastside,17,12,1,
Eastside,18,12,2,
Eastside,19,12,3,
Eastside,20,12,4,
Eastside,21,12,5,
Eastside,22,12,6,
Eastside,23,12,7,
Eastside,24,12,8,
Eastside,25,12,9,
Eastside,26,12,10,
Eastside,27,12,11,
Eastside,28,12,12,
Eastside,29,0,0,
Eastside,30,0,0,
Eastside,31,0,0,
Eastside,32,0,0,
Eastside,33,0,0,
Eastside,34,0,0,
Envy Me,19,7,1,
Envy Me,20,7,2,
Envy Me,21,7,3,
Envy Me,22,7,4,
Envy Me,23,7,5,
Envy Me,24,7,6,
Envy Me,25,7,7,
Envy Me,17,0,0,
Envy Me,18,0,0,
Envy Me,26,0,0,
Envy Me,27,0,0,
Envy Me,28,0,0,
Envy Me,29,0,0,
Envy Me,30,0,0,
Envy Me,31,0,0,
Envy Me,32,0,0,
Envy Me,33,0,0,
Envy Me,34,0,0,
GIRL,30,1,1,
GIRL,17,0,0,
GIRL,18,0,0,
GIRL,19,0,0,
GIRL,20,0,0,
GIRL,21,0,0,
GIRL,22,0,0,
GIRL,23,0,0,
GIRL,24,0,0,
GIRL,25,0,0,
GIRL,26,0,0,
GIRL,27,0,0,
GIRL,28,0,0,
GIRL,29,0,0,
GIRL,31,0,0,
GIRL,32,0,0,
GIRL,33,0,0,
GIRL,34,0,0,
Girls Like You,17,5,1,
Girls Like You,18,5,2,
Girls Like You,19,5,3,
Girls Like You,20,5,4,
Girls Like You,21,5,5,
Girls Like You,22,0,0,
Girls Like You,23,0,0,
Girls Like You,24,0,0,
Girls Like You,25,0,0,
Girls Like You,26,0,0,
Girls Like You,27,0,0,
Girls Like You,28,0,0,
Girls Like You,29,0,0,
Girls Like You,30,0,0,
Girls Like You,31,0,0,
Girls Like You,32,0,0,
Girls Like You,33,0,0,
Girls Like You,34,0,0,
God's Country,34,1,1,
God's Country,17,0,0,
God's Country,18,0,0,
God's Country,19,0,0,
God's Country,20,0,0,
God's Country,21,0,0,
God's Country,22,0,0,
God's Country,23,0,0,
God's Country,24,0,0,
God's Country,25,0,0,
God's Country,26,0,0,
God's Country,27,0,0,
God's Country,28,0,0,
God's Country,29,0,0,
God's Country,30,0,0,
God's Country,31,0,0,
God's Country,32,0,0,
God's Country,33,0,0,
Going Bad,17,17,1,
Going Bad,18,17,2,
Going Bad,19,17,3,
Going Bad,20,17,4,
Going Bad,21,17,5,
Going Bad,22,17,6,
Going Bad,23,17,7,
Going Bad,24,17,8,
Going Bad,25,17,9,
Going Bad,26,17,10,
Going Bad,27,17,11,
Going Bad,28,17,12,
Going Bad,29,17,13,
Going Bad,30,17,14,
Going Bad,31,17,15,
Going Bad,32,17,16,
Going Bad,33,17,17,
Going Bad,34,0,0,
Happier,17,17,1,
Happier,18,17,2,
Happier,19,17,3,
Happier,20,17,4,
Happier,21,17,5,
Happier,22,17,6,
Happier,23,17,7,
Happier,24,17,8,
Happier,25,17,9,
Happier,26,17,10,
Happier,27,17,11,
Happier,28,17,12,
Happier,29,17,13,
Happier,30,17,14,
Happier,31,17,15,
Happier,32,17,16,
Happier,33,17,17,
Happier,34,0,0,
High Hopes,17,15,1,
High Hopes,18,15,2,
High Hopes,19,15,3,
High Hopes,20,15,4,
High Hopes,21,15,5,
High Hopes,22,15,6,
High Hopes,23,15,7,
High Hopes,24,15,8,
High Hopes,25,15,9,
High Hopes,26,15,10,
High Hopes,27,15,11,
High Hopes,28,15,12,
High Hopes,29,15,13,
High Hopes,30,15,14,
High Hopes,31,15,15,
High Hopes,32,0,0,
High Hopes,33,0,0,
High Hopes,34,0,0,
Look Back At It,18,11,1,
Look Back At It,19,11,2,
Look Back At It,20,11,3,
Look Back At It,21,11,4,
Look Back At It,22,11,5,
Look Back At It,23,11,6,
Look Back At It,24,11,7,
Look Back At It,25,11,8,
Look Back At It,26,11,9,
Look Back At It,27,11,10,
Look Back At It,28,11,11,
Look Back At It,17,0,0,
Look Back At It,29,0,0,
Look Back At It,30,0,0,
Look Back At It,31,0,0,
Look Back At It,32,0,0,
Look Back At It,33,0,0,
Look Back At It,34,0,0,
Middle Child,24,7,1,
Middle Child,25,7,2,
Middle Child,26,7,3,
Middle Child,27,7,4,
Middle Child,28,7,5,
Middle Child,29,7,6,
Middle Child,30,7,7,
Middle Child,17,0,0,
