,subject_race,outcome,reason_for_stop,year,count
0,asian,arrest,CALL FOR SERVICE,2011,3
1,asian,arrest,CALL FOR SERVICE,2012,7
2,asian,arrest,CALL FOR SERVICE,2013,5
3,asian,arrest,CALL FOR SERVICE,2014,15
4,asian,arrest,CALL FOR SERVICE,2015,19
5,asian,arrest,CALL FOR SERVICE,2016,10
6,asian,arrest,CALL FOR SERVICE,2017,10
7,asian,arrest,CALL FOR SERVICE,2018,7
8,asian,arrest,CITIZEN CONTACT,2016,2
9,asian,arrest,CITIZEN CONTACT,2017,2
10,asian,arrest,CRIMINAL VIOLATION,2011,7
11,asian,arrest,CRIMINAL VIOLATION,2012,4
12,asian,arrest,CRIMINAL VIOLATION,2013,4
13,asian,arrest,CRIMINAL VIOLATION,2014,15
14,asian,arrest,CRIMINAL VIOLATION,2015,5
15,asian,arrest,CRIMINAL VIOLATION,2016,13
16,asian,arrest,CRIMINAL VIOLATION,2017,4
17,asian,arrest,CRIMINAL VIOLATION,2018,4
18,asian,arrest,FLAGGED DOWN,2012,2
19,asian,arrest,FLAGGED DOWN,2013,1
20,asian,arrest,FLAGGED DOWN,2016,1
21,asian,arrest,FLAGGED DOWN,2017,3
22,asian,arrest,JUVENILE VIOLATION,2012,1
23,asian,arrest,OTHER,2011,1
24,asian,arrest,OTHER,2012,1
25,asian,arrest,OTHER,2013,2
26,asian,arrest,OTHER,2015,2
27,asian,arrest,OTHER,2016,3
28,asian,arrest,OTHER,2017,3
29,asian,arrest,PRESENT AT CRIME SCENE,2012,1
30,asian,arrest,SUSPECT PERSON,2011,4
31,asian,arrest,SUSPECT PERSON,2012,4
32,asian,arrest,SUSPECT PERSON,2014,4
33,asian,arrest,SUSPECT PERSON,2015,4
34,asian,arrest,SUSPECT PERSON,2016,8
35,asian,arrest,SUSPECT PERSON,2017,4
36,asian,arrest,SUSPECT PERSON,2018,3
37,asian,arrest,SUSPECT VEHICLE,2016,1
38,asian,arrest,TRAFFIC VIOLATION,2011,8
39,asian,arrest,TRAFFIC VIOLATION,2012,15
40,asian,arrest,TRAFFIC VIOLATION,2013,13
41,asian,arrest,TRAFFIC VIOLATION,2014,20
42,asian,arrest,TRAFFIC VIOLATION,2015,16
43,asian,arrest,TRAFFIC VIOLATION,2016,8
44,asian,arrest,TRAFFIC VIOLATION,2017,9
45,asian,arrest,TRAFFIC VIOLATION,2018,6
46,asian,citation,CALL FOR SERVICE,2011,14
47,asian,citation,CALL FOR SERVICE,2012,15
48,asian,citation,CALL FOR SERVICE,2013,4
49,asian,citation,CALL FOR SERVICE,2014,10
50,asian,citation,CALL FOR SERVICE,2015,8
51,asian,citation,CALL FOR SERVICE,2016,3
52,asian,citation,CITIZEN CONTACT,2011,1
53,asian,citation,CITIZEN CONTACT,2013,1
54,asian,citation,CRIMINAL VIOLATION,2011,3
55,asian,citation,CRIMINAL VIOLATION,2012,6
56,asian,citation,CRIMINAL VIOLATION,2013,17
57,asian,citation,CRIMINAL VIOLATION,2015,3
58,asian,citation,CRIMINAL VIOLATION,2016,4
59,asian,citation,CRIMINAL VIOLATION,2017,1
60,asian,citation,FLAGGED DOWN,2014,1
61,asian,citation,OTHER,2011,1
62,asian,citation,OTHER,2012,4
63,asian,citation,OTHER,2013,1
64,asian,citation,OTHER,2014,1
65,asian,citation,OTHER,2015,2
66,asian,citation,OTHER,2016,2
67,asian,citation,OTHER,2017,1
68,asian,citation,SUSPECT PERSON,2011,3
69,asian,citation,SUSPECT PERSON,2012,1
70,asian,citation,SUSPECT PERSON,2013,2
71,asian,citation,SUSPECT PERSON,2014,5
72,asian,citation,SUSPECT PERSON,2015,1
73,asian,citation,SUSPECT PERSON,2016,1
74,asian,citation,SUSPECT PERSON,2017,4
75,asian,citation,SUSPECT VEHICLE,2014,1
76,asian,citation,TRAFFIC VIOLATION,2011,115
77,asian,citation,TRAFFIC VIOLATION,2012,193
78,asian,citation,TRAFFIC VIOLATION,2013,132
79,asian,citation,TRAFFIC VIOLATION,2014,236
80,asian,citation,TRAFFIC VIOLATION,2015,314
81,asian,citation,TRAFFIC VIOLATION,2016,134
82,asian,citation,TRAFFIC VIOLATION,2017,111
83,asian,citation,TRAFFIC VIOLATION,2018,70
84,asian,warning,CALL FOR SERVICE,2012,6
85,asian,warning,CALL FOR SERVICE,2013,2
86,asian,warning,CALL FOR SERVICE,2014,4
87,asian,warning,CALL FOR SERVICE,2015,5
88,asian,warning,CALL FOR SERVICE,2016,2
89,asian,warning,CALL FOR SERVICE,2018,4
